stop_id,stop_name,transfers,borough
A55,Euclid Av,A C,Bk
A54,Shepherd Av,C,Bk
A53,Van Siclen Av,C,Bk
A52,Liberty Av,C,Bk
A51,Broadway Junction,A C,Bk
A50,Rockaway Av,C,Bk
A49,Ralph Av,C,Bk
A48,Utica Av,A C,Bk
A47,Kingston-Throop Avs,C,Bk
A46,Nostrand Av,A C,Bk
A45,Franklin Av/Botanic Garden,C Sf,Bk
A44,Clinton-Washington Avs,C,Bk
A43,Lafayette Av,C,Bk
A42,Hoyt-Schermerhorn Sts,A C G,Bk
A41,Jay St-MetroTech,A C F R W,Bk
A40,High St,A C,Bk
A38,Fulton St,2 3 4 5 A C J Z,M
A36,Chambers St,A C,M
A34,Canal St,A C E,M
A33,Spring St,C E,M
A32,W 4 St-Wash Sq,A C E B D F M,M
A31,14 St (8th Av),A C E L,M
A30,23 St,C E,M
A28,34 St-Penn Station,A C E 1 2 3,M
A27,42 St-Port Authority Bus Terminal,A C E,M
A25,50 St,C E,M
A24,59 St-Columbus Circle,A B C D 1,M
A22,72 St,B C,M
A21,81 St-Museum of Natural History,B C,M
A20,86 St,B C,M
A19,96 St,B C,M
A18,103 St,B C,M
A17,Cathedral Pkwy (110 St),B C,M
A16,116 St,B C,M
A15,125 St,A B C D,M
A14,135 St,C B,M
A12,145 St,A C B D,M
A11,155 St,C,M
A10,163 St-Amsterdam Av,C,M
A09,168 St,A C 1,M
